Species,Mass,Length,Habitat,Dietti
Reithrodontomys montanus,9.5,116.0,Terrestrial,Omnivore
Reithrodontomys raviventris,11.01,146.5,Temperate, Folivore
Rhinosciurus laticaudatus,221.0,341.0,Tropical,Carnivore
Rhombomys opimus,285.0,270.0,Temperate, Folivore
Saccostomus campestris,62.5,141.0,Temperate, Granivore
Salpingotus pallidus,9.8,55.0,Temperate,Omnivore
Sciurus aberti,620.0,515.0,Temperate, Folivore
Sciurus carolinensis,540.33,452.5,Temperate,Omnivore
Sciurus granatensis,374.0,425.0,Tropical, Frugivore
Sciurus niger,800.0,595.0,Temperate,Omnivore
Sciurus oculatus,638.0,543.0,Temperate, Frugivore
Sciurus variegatoides,668.5,278.5,Tropical, Frugivore
Sekeetamys calurus,64.0,113.0,Temperate,Omnivore
Sigmodon arizonae,172.0,274.5,Temperate, Folivore
Sigmodon fulviventer,210.0,246.5,Temperate,Omnivore
Sigmodon hispidus,159.0,295.0,Temperate, Folivore
Spalax ehrenbergi,325.0,210.0,Temperate, Granivore
Spermophilus beecheyi,509.0,419.0,Temperate, Granivore
Spermophilus brunneus,199.5,233.5,Temperate, Granivore
Spermophilus elegans,326.02,317.5,Temperate, Folivore
Spermophilus lateralis,257.0,265.0,Temperate,Omnivore
Spermophilus parryii,,390.0,Polar,Carnivore
Spermophilus saturatus,275.0,305.0,Temperate, Folivore
Spermophilus tridecemlineatus,125.0,250.0,Temperate,Omnivore
Spermophilus variegatus,725.0,485.0,Temperate,Omnivore
Spermophilus washingtoni,210.0,215.0,Temperate, Folivore
Sphiggurus insidiosus,1350.0,700.0,Tropical, Folivore
Sphiggurus mexicanus,2000.0,675.0,Tropical, Folivore
Sundasciurus hippurus,340.0,232.5,Tropical, Frugivore
Synaptomys cooperi,35.0,125.0,Temperate, Folivore
Tamias alpinus,39.0,184.5,Temperate, Granivore
Tamias amoenus,51.5,213.0,Temperate,Omnivore
Tamias canipes,70.0,237.0,Temperate,Omnivore
Tamias cinereicollis,62.5,225.0,Temperate, Granivore
Tamias dorsalis,70.0,230.0,Temperate, Granivore
Tamias merriami,74.8,134.6,Temperate, Granivore
Tamias minimus,47.5,203.5,Temperate, Granivore
Tamias obscurus,73.0,224.0,Temperate, Frugivore
Tamias palmeri,59.7,216.5,Temperate,Omnivore
Tamias panamintinus,90.0,163.0,Temperate, Granivore
Tamias quadrimaculatus,89.5,237.5,Temperate,Omnivore
Tamias quadrivittatus,54.0,121.9,Temperate, Granivore
Tamias sibiricus,100.0,145.0,Temperate,Omnivore
